,airport_code,airport_full_name
477,DSI,Destin-Fort Walton Beach Airport  Destin
478,DET,"Detroit City Airport  Detroit, MI"
479,DTW,"Detroit Metropolitan Wayne County Airport  Detroit, MI"
480,DVL,Devils Lake Airport  Devils Lake
481,GRM,Devils Track Airport  Grand Marais
482,LNI,Dew Station Airport  Lonely
483,PIZ,Dew Station Airport  Point Lay
484,DIK,Dickinson Airport  Dickinson
485,EEN,Dillant-Hopkins Airport  Keene
486,HDH,Dillingham Airfield Airport  Oahu
487,DLN,Dillon Airport  Dillon
488,DLL,Dillon Airport  Dillon
489,DIO,Diomede Island Airport  Diomede Island
490,MGE,Dobbins Afb Airport  Marietta
491,DDC,Dodge City Municipal Airport  Dodge City
492,UNU,"Dodge County Airport  Juneau, WI"
493,DLO,Dolomi Airport  Dolomi
494,SUE,Door County Airport  Sturgeon Bay
495,DOF,Dora Bay Airport  Dora Bay
496,DHN,Dothan Arpt Airport  Dothan
497,ABY,Dougherty County Airport  Albany
498,MEV,Douglas County Airport  Minden
499,DGL,Douglas Municipal Airport  Douglas
500,DOV,"Dover AFB Airport  Dover-Cheswold, DE"
501,DWN,Downtown Airpark Airport  Oklahoma City
502,AHD,Downtown Airport  Ardmore
503,EBR,Downtown Airport  Baton Rouge
504,MKC,Downtown Airport  Kansas City
505,STP,Downtown Airport  St Paul
506,JDB,Downtown Heliport Airport  Dallas
507,JDM,Downtown Heliport Airport  Miami
508,JDT,Downtown Heliport Airport  Minneapolis
509,DNT,Downtown Heliport Airport  Santa Ana
510,JRB,"Downtown Manhattan H/p Airport  New York, NY"
511,DYL,Doylestown Airport  Doylestown
512,HAI,Dr Haines Airport  Three Rivers
513,TPL,"Draughon-miller Central Texas Regional Airport  Temple, TX"
514,DRF,Drift River Airport  Drift River
515,DRU,Drummond Airport  Drummond
516,DRE,Drummond Island Airport  Drummond Island
517,DUJ,Du Bois-Jefferson County Airport  Du Bois
518,DBS,Dubois Airport  Dubois
519,EGI,Duke Field Airport  Valparaiso
520,DLH,Duluth International Airport  Duluth
521,DKK,Dunkirk Airport  Dunkirk
522,DPA,Dupage County Airport  Chicago
523,POU,Dutchess County Airport  Poughkeepsie
524,DYS,Dyess AFB Airport  Abilene
525,EAA,Eagle Airport  Eagle
526,EGE,Eagle County Airport  Vail/Eagle
527,ELA,Eagle Lake Airport  Eagle Lake
528,EGV,Eagle River Airport  Eagle River
529,DUA,Eaker Airport  Durant
530,POF,Earl Fields Memorial Airport  Poplar Bluff
531,TSS,East 34th St Heliport Airport  New York
532,NES,East 34th St Landing Airport  New York
533,JRE,East 60th Street H/P Airport  New York
534,HTO,East Hampton Airport  East Hampton
535,MRB,Eastern Wv Regional Airport/Shepherd Field Airport  Martinsburg
536,CLL,"Easterwood Field Airport  College Station, TX"
537,ESN,Easton Airport  Easton
538,OIC,Eaton Airport  Norwich
539,EDA,Edna Bay Airport  Edna Bay
540,MPV,"Edward F Knapp State Airport  Montpelier, VT"
541,EDW,Edwards AFB Airport  Edwards AFB
542,GUF,Edwards Airport  Gulf Shores
543,EEK,Eek Airport  Eek
544,EGX,Egegik Airport  Egegik
545,VPS,"Eglin AFB Airport  Valparaiso, FL"
546,EIL,Eielson AFB Airport  Fairbanks
